date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:37	111/111	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20Sep%202024%2019:34:37%20GMT	https://crowdytheme.com/robots.txt		(from )
01:04:37	244199/244199	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2018:46:24%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/home-page/	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/home-page/index.html	(from )
01:04:38	5466/5466	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:09:11%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/animation-addons-for-elementor/assets/css/wcf-addons.css?ver=1725451751	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/animation-addons-for-elementor/assets/css/wcf-addons6366.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:38	5061/5061	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:09:11%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/extension-for-animation-addons/assets/css/magnific-popup.css?ver=1725451751	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/extension-for-animation-addons/assets/css/magnific-popup6366.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:38	5157/5157	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:09:11%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/extension-for-animation-addons/assets/css/wcf-addons-ex.css?ver=1725451751	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/extension-for-animation-addons/assets/css/wcf-addons-ex6366.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:39	25260/25260	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:09:11%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/wcf-addons-pro/assets/css/wcf-addons-pro.css?ver=1725451751	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/plugins/wcf-addons-pro/assets/css/wcf-addons-pro6366.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:39	2621/2621	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202024%2011:40:03%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/meanmenu.min.css?ver=2	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/meanmenu.min77ae.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:39	36475/36475	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202024%2011:40:03%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/bootstrap.min.css?ver=2	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/bootstrap.min77ae.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:39	83427/83427	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:09:12%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/master.css?ver=1725451752	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/mastera827.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:40	5603/5603	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:09:12%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/custom-icons.min.css?ver=1725451752	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/cache/min/23/wp/arolax/film-production-agency/wp-content/themes/arolax/assets/css/custom-icons.mina827.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
01:04:40	212433/212433	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Aug%202024%2005:21:57%20GMT	https://crowdytheme.com/wp/arolax/film-production-agency/wp-content/uploads/sites/23/elementor/css/custom-frontend-lite.min.css?ver=1722921717	C:/My%20Web%20Sites/atcco/crowdytheme.com/wp/arolax/film-production-agency/wp-content/uploads/sites/23/elementor/css/custom-frontend-lite.min2150.css	(from https://crowdytheme.com/wp/arolax/film-production-agency/home-page/)
